;Date;No_cases;Workplace;Events;Daycare;Higher Education;Secondary Education;Primary Education;Restaurants/Cafes;Transport;Entertainment;Sports;Indoor;Masks;MassGather50;MassGatherAll;Shops;Outdoor;Religion;Gatherings;Stayhome;Telework;Prikken;Rolling_R;perc_randstad;perc_under_30;perc_M
19;2020-03-15;0.07968824558613011;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.5;0.0;0.0;1.0;0.0;0.6666666666666666;0.0;0.0;0.25;1.0;0.0;1.2577785002938517;0.39520958083832336;0.06686626746506986;0.5119760479041916
20;2020-03-16;0.07276920629871163;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;0.0;0.6666666666666666;1.0;0.0;0.25;1.0;0.0;1.1955550153072714;0.4065573770491803;0.0633879781420765;0.4808743169398907
21;2020-03-17;0.06585016701129315;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;0.0;0.6666666666666666;1.0;0.0;0.25;1.0;0.0;1.1472630512864235;0.41183574879227053;0.06521739130434782;0.4444444444444444
22;2020-03-18;0.09861619214251631;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;0.0;0.6666666666666666;1.0;0.0;0.75;1.0;0.0;1.1116206090063028;0.4088709677419355;0.07016129032258064;0.44193548387096776
23;2020-03-19;0.08008589152218865;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;0.0;0.6666666666666666;1.0;0.0;0.75;1.0;0.0;1.0839905934510272;0.41012909632572;0.06355511420059583;0.4538232373386296
24;2020-03-20;0.07984730396055352;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;0.0;0.6666666666666666;1.0;0.0;0.75;1.0;0.0;1.0612429464876127;0.40537848605577687;0.08067729083665338;0.3954183266932271
25;2020-03-21;0.06823604262764435;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;0.0;0.6666666666666666;1.0;0.0;0.75;1.0;0.0;1.041415576697627;0.3986013986013986;0.07226107226107226;0.41375291375291373
26;2020-03-22;0.0806425958326706;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;0.0;0.0;1.0;0.0;0.6666666666666666;1.0;0.0;0.75;1.0;0.0;1.0235846985402317;0.4428007889546351;0.09664694280078895;0.398422090729783
27;2020-03-23;0.07094003499284238;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;1.01122536070937;0.4260089686098655;0.12219730941704036;0.4047085201793722
28;2020-03-24;0.06449817082869413;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.75;1.0;0.0;1.0049194236475556;0.44512946979038226;0.09494451294697903;0.374845869297164
